Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1269;1;BOTAFOGO/RJ;PALMEIRAS/SP;Domingo;0;0;0;0,279220779;0,279220779;0,441558442;0,441558442;0,279220779;0,279220779;0;0;0
1269;2;BRAGANTINO/SP;BAHIA/BA;Sábado;0;0;0;0,473491773;0,270566728;0,255941499;0,473491773;0,270566728;0,255941499;0;0;0
1269;3;SAO PAULO/SP;ATLETICO/MG;Sábado;0;0;0;0,450511945;0,28668942;0,262798635;0,450511945;0,28668942;0,262798635;0;0;0
1269;4;CEARA/CE;SPORT/PE;Sábado;0;0;0;0,397186595;0,311129499;0,291683906;0,397186595;0,311129499;0,291683906;0;0;0
1269;5;FLUMINENSE/RJ;VASCO DA GAMA/RJ;Sábado;0;0;0;0,424795771;0,29408938;0,281114849;0,424795771;0,29408938;0,281114849;0;0;0
1269;6;CORITIBA/PR;MIRASSOL/SP;Domingo;0;0;0;0,396166134;0,297124601;0,306709265;0,396166134;0,306709265;0,297124601;0;0;0
1269;7;EVERTON/ING;MAN UNITED/ING;Domingo;0;0;0;0,284552846;0,268292683;0,447154472;0,447154472;0,284552846;0,268292683;0;0;0
1269;8;CRUZEIRO/MG;ATHLETICO/PR;Domingo;0;0;0;0,500595056;0,279744296;0,219660648;0,500595056;0,279744296;0,219660648;0;0;0
1269;9;INTERNACIONAL/RS;SANTOS/SP;Domingo;0;0;0;0,489082969;0,272489083;0,238427948;0,489082969;0,272489083;0,238427948;0;0;0
1269;10;REMO/PA;FLAMENGO/RJ;Domingo;0;0;0;0,135200974;0,225334957;0,639464068;0,639464068;0,225334957;0,135200974;0;0;0
1269;11;VALENCIA CLUB/ESP;BARCELONA/ESP;Domingo;0;0;0;0,106122449;0,159183673;0,734693878;0,734693878;0,159183673;0,106122449;0;0;0
1269;12;ARSENAL/ING;CHELSEA/ING;Domingo;0;0;0;0,55393586;0,247813411;0,198250729;0,55393586;0,247813411;0,198250729;0;0;0
1269;13;DEPORTIVO ALAVES/ESP;OSASUNA/ESP;Domingo;0;0;0;0,422178988;0,306420233;0,271400778;0,422178988;0,306420233;0,271400778;0;0;0
1269;14;CORINTHIANS/SP;CHAPECOENSE/SC;Domingo;0;0;0;0,680393912;0,200537153;0,119068935;0,680393912;0,200537153;0,119068935;0;0;0
